Id,Expected
0,dandelion
1,sunflower
2,dandelion
3,rose
4,tulip
5,sunflower
6,rose
7,tulip
8,daisy
9,tulip
10,tulip
11,daisy
12,dandelion
13,sunflower
14,sunflower
15,dandelion
16,daisy
17,tulip
18,sunflower
19,tulip
20,dandelion
21,daisy
22,dandelion
23,sunflower
24,daisy
25,sunflower
26,sunflower
27,rose
28,tulip
29,dandelion
30,dandelion
31,tulip
32,dandelion
33,dandelion
34,tulip
35,sunflower
36,daisy
37,rose
38,dandelion
39,rose
40,daisy
41,tulip
42,tulip
43,daisy
44,daisy
45,sunflower
46,tulip
47,tulip
48,daisy
49,tulip
50,tulip
51,sunflower
52,dandelion
53,rose
54,tulip
55,daisy
56,sunflower
57,sunflower
58,rose
59,dandelion
60,tulip
61,sunflower
62,tulip
63,dandelion
64,tulip
65,daisy
66,sunflower
67,dandelion
68,dandelion
69,tulip
70,sunflower
71,sunflower
72,tulip
73,dandelion
74,tulip
75,sunflower
76,daisy
77,dandelion
78,dandelion
79,daisy
80,dandelion
81,rose
82,daisy
83,dandelion
84,daisy
85,tulip
86,rose
87,rose
88,dandelion
89,sunflower
90,dandelion
91,rose
92,dandelion
93,dandelion
94,tulip
95,sunflower
96,daisy
97,dandelion
98,daisy
99,rose
100,rose
101,rose
102,sunflower
103,tulip
104,rose
105,dandelion
106,dandelion
107,sunflower
108,tulip
109,rose
110,tulip
111,sunflower
112,dandelion
113,dandelion
114,dandelion
115,daisy
116,dandelion
117,tulip
118,daisy
119,dandelion
120,dandelion
121,sunflower
122,dandelion
123,daisy
124,dandelion
125,dandelion
126,daisy
127,sunflower
128,rose
129,rose
130,dandelion
131,tulip
132,tulip
133,sunflower
134,dandelion
135,tulip
136,sunflower
137,dandelion
138,sunflower
139,sunflower
140,daisy
141,daisy
142,daisy
143,rose
144,rose
145,tulip
146,sunflower
147,dandelion
148,dandelion
149,sunflower
150,tulip
151,dandelion
152,tulip
153,daisy
154,daisy
155,daisy
156,dandelion
157,tulip
158,daisy
159,daisy
160,daisy
161,daisy
162,daisy
163,tulip
164,dandelion
165,dandelion
166,rose
167,rose
168,daisy
169,sunflower
170,tulip
171,dandelion
172,tulip
173,dandelion
174,dandelion
175,rose
176,daisy
177,sunflower
178,sunflower
179,daisy
180,rose
181,dandelion
182,tulip
183,daisy
184,rose
185,dandelion
186,rose
187,tulip
188,sunflower
189,rose
190,dandelion
191,tulip
192,dandelion
193,daisy
194,dandelion
195,daisy
196,dandelion
197,dandelion
198,daisy
199,dandelion
200,rose
201,sunflower
202,sunflower
203,dandelion
204,tulip
205,dandelion
206,sunflower
207,tulip
208,daisy
209,rose
210,rose
211,tulip
212,dandelion
213,rose
214,dandelion
215,rose
216,daisy
217,daisy
218,dandelion
219,rose
220,dandelion
221,tulip
222,sunflower
223,sunflower
224,tulip
225,tulip
226,dandelion
227,dandelion
228,sunflower
229,dandelion
230,rose
231,dandelion
232,dandelion
233,daisy
234,sunflower
235,tulip
236,daisy
237,daisy
238,dandelion
239,dandelion
240,tulip
241,sunflower
242,dandelion
243,daisy
244,daisy
245,tulip
246,dandelion
247,sunflower
248,tulip
249,dandelion
250,rose
251,tulip
252,tulip
253,daisy
254,tulip
255,tulip
256,dandelion
257,rose
258,dandelion
259,tulip
260,dandelion
261,dandelion
262,rose
263,rose
264,tulip
265,dandelion
266,rose
267,rose
268,dandelion
269,sunflower
270,tulip
271,rose
272,tulip
273,daisy
274,dandelion
275,daisy
276,dandelion
277,dandelion
278,dandelion
279,dandelion
280,dandelion
281,sunflower
282,daisy
283,dandelion
284,dandelion
285,tulip
286,daisy
287,tulip
288,dandelion
289,dandelion
290,dandelion
291,tulip
292,dandelion
293,sunflower
294,rose
295,sunflower
296,tulip
297,tulip
298,daisy
299,sunflower
300,sunflower
301,rose
302,sunflower
303,sunflower
304,dandelion
305,dandelion
306,tulip
307,dandelion
308,dandelion
309,dandelion
310,tulip
311,dandelion
312,sunflower
313,tulip
314,tulip
315,dandelion
316,sunflower
317,dandelion
318,dandelion
319,daisy
320,rose
321,daisy
322,tulip
323,sunflower
324,tulip
325,sunflower
326,dandelion
327,tulip
328,tulip
329,dandelion
330,tulip
331,dandelion
332,daisy
333,dandelion
334,rose
335,dandelion
336,daisy
337,rose
338,tulip
339,dandelion
340,dandelion
341,tulip
342,rose
343,dandelion
344,dandelion
345,daisy
346,tulip
347,dandelion
348,tulip
349,rose
350,sunflower
351,sunflower
352,tulip
353,tulip
354,tulip
355,sunflower
356,rose
357,tulip
358,dandelion
359,dandelion
360,rose
361,rose
362,sunflower
363,rose
364,tulip
365,daisy
366,tulip
367,rose
368,tulip
369,dandelion
370,sunflower
371,tulip
372,rose
373,dandelion
374,dandelion
375,tulip
376,tulip
377,tulip
378,rose
379,daisy
380,sunflower
381,daisy
382,rose
383,rose
384,tulip
385,tulip
386,tulip
387,rose
388,sunflower
389,tulip
390,dandelion
391,dandelion
392,sunflower
393,daisy
394,sunflower
395,daisy
396,rose
397,tulip
398,sunflower
399,dandelion
400,sunflower
401,dandelion
402,sunflower
403,dandelion
404,tulip
405,rose
406,dandelion
407,dandelion
408,tulip
409,dandelion
410,sunflower
411,rose
412,dandelion
413,dandelion
414,dandelion
415,dandelion
416,dandelion
417,dandelion
418,daisy
419,rose
420,sunflower
421,rose
422,rose
423,tulip
424,rose
